Version,game_id,score,max_tile,steps,duration_sec
v3,179,10208,512,564,49.44555640220642
v3,180,8732,256,539,48.55153918266296
v3,181,12644,1024,653,56.40160608291626
v3,182,13524,512,759,67.45511293411255
v3,183,11168,512,646,58.23032093048096
v3,184,6916,256,454,40.816216707229614
v3,185,7148,256,445,40.18699908256531
v3,186,16756,512,909,76.02954816818237
v3,187,30692,1024,1411,105.25597882270812
v3,188,41124,2048,1877,156.10827732086182
v3,189,12660,512,706,56.64065146446228
v3,190,6800,256,435,32.45390582084656
v3,191,19048,1024,996,79.52114272117615
v3,42,17820,1024,916,47.76560854911804
v3,43,6912,256,435,24.27897357940674
v3,44,10252,512,576,34.735896587371826
v3,45,26180,1024,1241,71.23662900924683
v3,46,13552,512,772,40.65808725357056
v3,47,13428,512,743,36.04812026023865
v3,48,4432,128,324,15.653058052062988
v3,49,35296,2048,1572,84.11091589927673
v3,50,15544,512,831,43.83091640472412
v3,51,12352,512,698,37.4192430973053
v3,52,19624,1024,979,50.29214978218079
v3,53,9788,256,601,30.92532467842102
v3,54,19444,1024,1006,56.44599986076355
v3,55,28200,1024,1358,71.97174978256226
v3,56,29928,1024,1450,69.15639853477478
v3,57,12008,512,663,35.19890880584717
v3,58,49552,2048,2101,110.40279936790466
v3,59,35304,1024,1671,74.60862636566162
v3,60,26788,1024,1297,69.10896730422974
v3,61,6216,256,417,22.179333925247192
v3,62,7668,256,492,22.769169569015503
v3,63,15024,512,818,39.89979863166809
v3,64,12736,512,718,34.945143699646
v3,65,31640,1024,1546,64.08776950836182
v3,66,27668,1024,1356,56.14642834663391
